Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
tempo_anos_3,aaaaaa,,text,Quanto tempo (anos)?,,,number,0,100,,[etlismo] = '3',,,,,,
menstruacao,aaaaaa,,text,Menstruação,,,,,,,,,,,,,
gestacao,aaaaaa,,text,Gestação,,,,,,,,,,,,,
menopausa,aaaaaa,,radio,Menopausa,"1, Sim | 2, Não | 3, Não se aplica",,,,,,,,,,,,
quando,aaaaaa,,text,Quando?,,,,,,,[menopausa] = '1',,,,,,
pratica_de_exercicio_fisi,aaaaaa,,radio,Prática de exercício físico,"1, Sedentário | 2, Fim de semana | 3, 2 a 3x por semana | 4, 4 a 5x por semana | 5, +5x por semana",,,,,,,,,,,,
antecedentes_morbidos_fam,aaaaaa,,descriptive,Antecedentes Mórbidos Familiares,,,,,,,,,,,,,
dm_1,aaaaaa,,radio,DM 1,"1, Sim | 2, Não",,,,,,,,,,,,
quem,aaaaaa,,text,Quem?,,,,,,,[dm_1] = '1',,,,,,
dm_2,aaaaaa,,radio,DM 2,"1, Sim | 2, Não",,,,,,,,,,,,
quem_1,aaaaaa,,text,Quem?,,,,,,,[dm_2] = '1',,,,,,
dislipidemia_1,aaaaaa,,radio,Dislipidemia,"1, Sim | 2, Não",,,,,,,,,,,,
quem_2,aaaaaa,,text,Quem?,,,,,,,[dislipidemia_1] = '1',,,,,,
has_1,aaaaaa,,radio,HAS,"1, Sim | 2, Não",,,,,,,,,,,,
quem_3,aaaaaa,,text,Quem?,,,,,,,[has_1] = '1',,,,,,
dcv_1,aaaaaa,,radio,Doença Cardiovascular,"1, Sim | 2, Não",,,,,,,,,,,,
qual_1,aaaaaa,,text,Qual?,,,,,,,[dcv_1] = '1',,,,,,
quem_4,aaaaaa,,text,Quem?,,,,,,,[dcv_1] = '1',,,,,,
obesidade,aaaaaa,,radio,Obesidade,"1, Sim | 2, Não",,,,,,,,,,,,
quem_5,aaaaaa,,text,Quem?,,,,,,,[obesidade] = '1',,,,,,
autoimune_1,aaaaaa,,radio,Doenças autoimunes,"1, Sim | 2, Não",,,,,,,,,,,,
quais,aaaaaa,,text,Quais?,,,,,,,[autoimune_1] = '1',,,,,,
quem_6,aaaaaa,,text,Quem?,,,,,,,[autoimune_1] = '1',,,,,,
consanguinidade_dos_pais,aaaaaa,,radio,Consanguinidade dos pais,"1, Sim | 2, Não",,,,,,,,,,,,
exame_fisico_e_antropomet,aaaaaa,,descriptive,Exame Físico e Antropometria,,,,,,,,,,,,,
peso,aaaaaa,,text,Peso,,,number,0,300,,,,,,,,
altura,aaaaaa,,text,Altura,,,number,0,250,,,,,,,,
imc,aaaaaa,,text,IMC,,,number,0,100,,,,,,,,
classificacao,aaaaaa,,dropdown,Classificação,"1, Baixo peso | 2, Eutrófico | 3, Sobrepeso | 4, Obesidade grau 1 | 5, Obesidade grau 2 | 6, Obesidade grau 3",,,,,,,,,,,,
circ_abdominal,aaaaaa,,text,Circunferência abdominal,,,number,0,200,,,,,,,,
circ_de_quadril,aaaaaa,,text,Circunferência de quadril,,,number,0,200,,,,,,,,
circ_de_pescoco,aaaaaa,,text,Circunferência de pescoço,,,number,0,200,,,,,,,,
circ_de_coxa_direita,aaaaaa,,text,Circunferência de coxa direita,,,number,0,200,,,,,,,,
circ_de_coxa_esquerda,aaaaaa,,text,Circunferência de coxa esquerda,,,number,0,200,,,,,,,,
pa_sist,aaaaaa,,text,Pressão arterial sistólica,,,number,0,300,,,,,,,,
pa_dias,aaaaaa,,text,Pressão arterial diastólica,,,number,0,200,,,,,,,,
frequencia_cardiaca,aaaaaa,,text,Frequência cardíaca,,,number,0,250,,,,,,,,
acanthosis_nigricans,aaaaaa,,radio,Acanthosis nigricans,"1, Sim | 2, Não",,,,,,,,,,,,
locais,aaaaaa,,text,Locais?,,,,,,,[acanthosis_nigricans] = '1',,,,,,
prega_de_coxa,aaaaaa,,text,Prega de coxa,,,,,,,,,,,,,
prega_de_braco_esquerdo,aaaaaa,,text,Prega de braço esquerdo,,,,,,,,,,,,,
prega_subescapular,aaaaaa,,text,Prega subescapular,,,,,,,,,,,,,
prega_de_panturrilha,aaaaaa,,text,Prega de panturrilha,,,,,,,,,,,,,
indice_de_kob,aaaaaa,,text,Índice de Kob,,,,,,,,,,,,,
mapeamento_de_retina,aaaaaa,,dropdown,Mapeamento de retina,"1, Normal | 2, Sem retinopatia diabética | 3, Retinopatia diabética não proliferativa leve | 4, Retinopatia diabética não proliferativa moderada | 5, Retinopatia diabética não proliferativa grave | 6, Retinopatia diabética proliferativa | 7, Retinopatia hipertensiva grau 1 | 8, Retinopatia hipertensiva grau 2 | 9, Retinopatia hipertensiva grau 3 | 10, Retinopatia hipertensiva grau 4",,,,,,,,,,,,
escore_de_calcio,aaaaaa,,text,Escore de Cálcio,,,,,,,,,,,,,
exames_laboratoriais,aaaaaa,,descriptive,Exames Laboratoriais,,,,,,,,,,,,,
igf1,aaaaaa,,text,IGF-1,,,,,,,,,,,,,
homair,aaaaaa,,text,HOMA-IR,,,,,,,,,,,,,
insulina,aaaaaa,,text,Insulina,,,,,,,,,,,,,
peptideo_c,aaaaaa,,text,Peptídeo C,,,,,,,,,,,,,
glicemia_em_jejum,aaaaaa,,text,Glicemia em jejum,,,,,,,,,,,,,
hemoglobina_glicada,aaaaaa,,text,Hemoglobina glicada,,,,,,,,,,,,,
leptina,aaaaaa,,text,Leptina,,,,,,,,,,,,,
ureia,aaaaaa,,text,Ureia,,,,,,,,,,,,,
creatinina,aaaaaa,,text,Creatinina,,,,,,,,,,,,,
funcao_renal,aaaaaa,,dropdown,Função renal,"1, G1 Normal ou Alto (>90) | 2, G2 Diminuição ligeira (60–89) | 3, G3a Diminuição moderada (45–59) | 4, G3b Diminuição pouco severa (30–44) | 5, G4 Diminuição grave (15–29) | 6, G5 Falência renal (<15)",,,,,,,,,,,,
tgo,aaaaaa,,text,TGO,,,,,,,,,,,,,
tgp,aaaaaa,,text,TGP,,,,,,,,,,,,,
ggt,aaaaaa,,text,GGT,,,,,,,,,,,,,
fosfatase_alcalina,aaaaaa,,text,Fosfatase alcalina,,,,,,,,,,,,,
tsh,aaaaaa,,text,TSH,,,,,,,,,,,,,
t4l,aaaaaa,,text,T4L,,,,,,,,,,,,,
anticorpo_antimicrossomal,aaaaaa,,text,Anticorpo antimicrossomal,,,,,,,,,,,,,
anticorpo_antitireoglobul,aaaaaa,,text,Anticorpo antitireoglobulina,,,,,,,,,,,,,
cpk,aaaaaa,,text,CPK,,,,,,,,,,,,,
ct,aaaaaa,,text,CT,,,,,,,,,,,,,
ldlc,aaaaaa,,text,LDLc,,,,,,,,,,,,,
hdlc,aaaaaa,,text,HDLc,,,,,,,,,,,,,
triglicerideos,aaaaaa,,text,Triglicerídeos,,,,,,,,,,,,,
nhdlc,aaaaaa,,text,nHDLc,,,,,,,,,,,,,
vldlc,aaaaaa,,text,VLDLc,,,,,,,,,,,,,
ttgo,aaaaaa,,text,TTGO,,,,,,,,,,,,,
microalbuminuria,aaaaaa,,text,Microalbuminúria,,,,,,,,,,,,,
relacao_albuminacreatinin,aaaaaa,,radio,Relação Albumina/Creatinina,"1, Normal com ligeiro aumento (<30 mg/g) | 2, Aumento moderado (30–300 mg/g) | 3, Aumento grave (>300 mg/g)",,,,,,,,,,,,
exames_de_imagem_e_funcao,aaaaaa,,descriptive,Exames de Imagem e Função,,,,,,,,,,,,,
us_de_abdome_total,aaaaaa,,radio,Ultrassonografia de abdome total,"1, Normal | 2, Esteatose hepática leve | 3, Esteatose hepática moderada | 4, Esteatose hepática grave | 5, Outras alterações",,,,,,,,,,,,
densitometria_de_corpo_in,aaaaaa,,descriptive,Densitometria de Corpo Inteiro,,,,,,,,,,,,,
imc_1,aaaaaa,,text,IMC,,,number,0,100,,,,,,,,
dmo,aaaaaa,,text,DMO,,,,,,,,,,,,,
imma,aaaaaa,,text,IMMA,,,,,,,,,,,,,
img,aaaaaa,,text,IMG,,,,,,,,,,,,,
gv,aaaaaa,,text,GV,,,,,,,,,,,,,
androide,aaaaaa,,text,Androide,,,,,,,,,,,,,
gtgp,aaaaaa,,text,GT/GP,,,,,,,,,,,,,
ag,aaaaaa,,text,A/G,,,,,,,,,,,,,
ginoide,aaaaaa,,text,Ginóide,,,,,,,,,,,,,
mma,aaaaaa,,text,MMA,,,,,,,,,,,,,
mm_tronco,aaaaaa,,text,MM tronco,,,,,,,,,,,,,
gc,aaaaaa,,text,%GC,,,number,0,100,,,,,,,,
mg_mmii,aaaaaa,,text,MG MMII,,,,,,,,,,,,,
mm_mmii,aaaaaa,,text,MM MMII,,,,,,,,,,,,,
mg_mmss,aaaaaa,,text,MG MMSS,,,,,,,,,,,,,
mm_mmss,aaaaaa,,text,MM MMSS,,,,,,,,,,,,,
mm_tronco_1,aaaaaa,,text,MM tronco,,,,,,,,,,,,,
mg_tronco,aaaaaa,,text,MG tronco,,,,,,,,,,,,,
avaliacao_cardiaca_e_vasc,aaaaaa,,descriptive,Avaliação Cardíaca e Vascular,,,,,,,,,,,,,
ecocardiograma,aaaaaa,,text,Ecocardiograma,,,,,,,,,,,,,
doppler,aaaaaa,,text,Doppler,,,,,,,,,,,,,
ecg,aaaaaa,,text,ECG,,,,,,,,,,,,,
mapa,aaaaaa,,text,MAPA,,,,,,,,,,,,,
holter,aaaaaa,,text,Holter,,,,,,,,,,,,,
avaliacao_hepatica,aaaaaa,,descriptive,Avaliação Hepática,,,,,,,,,,,,,
elastografia,aaaaaa,,text,Elastografia,,,,,,,,,,,,,
fibroscan,aaaaaa,,text,Fibroscan,,,,,,,,,,,,,
genetica_e_anc,aaaaaa,,descriptive,Genética e Ancestralidade,,,,,,,,,,,,,
teste_genetico,aaaaaa,,radio,Teste genético,"1, Positivo | 2, Negativo",,,,,,,,,,,,
qual_2,aaaaaa,,text,Qual?,,,,,,,[teste_genetico] = '1',,,,,,
homozigose,aaaaaa,,radio,Homozigose,"1, Sim | 2, Não",,,,,,,,,,,,
anc_amerindia,aaaaaa,,text,Ancestralidade ameríndia (%),,,number,0,120,,,,,,,,
anc_europeia,aaaaaa,,text,Ancestralidade europeia (%),,,number,0,120,,,,,,,,
anc_africana,aaaaaa,,text,Ancestralidade africana (%),,,number,0,120,,,,,,,,
